,Count,YYYYMM,DAY
,137,202004,24
,135,202005,27
,133,202005,6
,132,202005,17
,132,202005,20
,132,202004,19
,131,202005,29
,130,202005,10
,130,202005,26
,129,202005,19
,129,202004,21
,128,202005,15
,128,202005,3
,127,202005,9
,127,202005,24
,127,202005,5
,126,202005,8
,126,202005,30
,126,202004,17
,124,202005,16
,123,202004,27
,123,202005,4
,122,202005,22
,122,202004,18
,122,202004,26
,119,202005,12
,119,202005,18
,119,202005,23
,116,202005,25
,114,202005,2
,113,202004,20
,112,202004,25
,112,202005,1
,111,202005,11
,20,202008,1
