ETMS_EQPT,T_WHLS_ON,FAA_Weight_Class
A320,20:49,M
E135,20:51,M
CRJ9,20:53,M
B738,20:55,M
B752,20:57,H
B772,20:58,H
A321,21:00,M
B738,21:02,M
E190,21:04,M
B712,21:07,M
B752,21:11,H
B763,21:15,H
CRJ9,21:18,M
E190,21:21,M
A321,21:23,M
B752,21:25,H
A321,21:27,M
A320,21:31,M
A320,21:32,M
A320,21:34,M
A321,21:36,M
A321,21:37,M
A321,21:39,M
A320,21:40,M
A320,21:41,M
A320,21:43,M
B764,21:45,H
A320,21:46,M
A321,21:47,M
A320,21:49,M
B787,21:50,H
CRJ9,21:51,M
CRJ2,21:53,M
B738,21:54,M
B738,21:56,M
E170,21:58,M
E75L,22:01,M
CRJ9,22:03,M
B712,22:04,M
CRJ9,22:06,M
B738,22:07,M
B77W,22:08,H
    ,22:09,H
A321,22:10,M
A320,22:11,M
B772,22:12,H
A320,22:14,M
A321,22:15,M
A320,22:17,M
B77W,22:18,H
A321,22:21,M
B77L,22:22,H
B789,22:25,H
CRJ9,22:28,M
A321,22:29,M
B744,22:31,H
CRJ2,22:34,M
A320,22:35,M
A321,22:37,M
E190,22:41,M
A320,22:42,M
A320,22:44,M
B738,22:48,M
B752,22:49,H
B712,22:50,M
CRJ9,22:52,M
CRJ9,22:54,M
A346,22:54,H
A320,22:55,M
A320,22:56,M
A320,22:58,M
A320,22:59,M
B764,23:01,H
E190,23:04,M
    ,23:05,H
B739,23:06,M
A333,23:07,H
A321,23:10,M
A321,23:11,M
B77W,23:12,H
A321,23:15,M
A320,23:16,M
A319,23:18,M
A359,23:19,H
B738,23:21,M
B77L,23:23,H
CRJ9,23:25,M
E190,23:27,M
B763,23:28,H
E190,23:31,M
A321,23:32,M
E190,23:34,M
B738,23:36,M
B77W,23:39,H
A320,23:44,M
A319,23:49,M
CRJ9,23:50,M
A320,23:53,M
C56X,23:54,L
A321,23:55,M
B712,23:56,M
B77L,23:58,H
